ID,Content
1,"pasuvaïṇo rosāruṇapaḍimāsaṃkaṃtagorimuhaaṃdam
gahiagghapaṃkaaṃ mia saṃjhāsalilaṃjaliṃ ṇamaha"
2,"amiaṃ pāuakavvaṃ paḍhiuṃ souṃ ca je ṇa āṇaṃti
kāmassa tattatattiṃ kuṇaṃti te kaha ṇa lajjaṃti"
3,"satta saāiṃ kaïvacchaleṇa koḍīa majjhaārammi
hāleṇa viraïāiṃ sālaṃkārāṇa gāhāṇaṃ"
4,"ua ṇiccalaṇippaṃdā bhisiṇīvattammi rehaï valāā
nimmalamaragaabhāaṇapariṭṭhiā saṃkhasutti vva"
5,"tāva ccia raïsamae mahilāṇaṃ vibbhamā virāaṃti
jāva ṇa kuvalaadalasacchahāi maülaṃti ṇaaṇāiṃ"
6,"ṇohaliam appaṇo kiṃ ṇa maggase maggase kuravaassa
eaṃ khu suhaa tuha hasaï valiamuhapaṃkaaṃ jāā"
7,"tāvijjaṃti asoehi laḍahavilaāu daïavirahammi
kiṃ sahaï ko vi kassa vi pāapahāraṃ pahuppaṃto"
8,"attā taha ramaṇijjaṃ aṃhaṃ gāmassa maṃḍaṇīhūaṃ
luatilavāḍisaricchaṃ sisireṇakaaṃ bhisiṇisaṃḍaṃ"
9,"kiṃ ruasi oṇaamuhī dhavalāaṃtesu sālichettesu
hariālamaṃḍiamuhī ṇaḍi vva saṇavāḍiā jāā"
10,"sahi erisi ccia gaī mā ruvvasu taṃsavaliamuhaaṃdaṃ
eāṇa vālavāluṃkitaṃtukuḍilāṇa pemmāṇaṃ"
11,"pāapaḍiassa païṇo puṭṭhiṃ putte samāruhaṃtammi
daḍhamaṇṇudūmiāi vihāso ghariṇīa ṇikkaṃto"
12,"saccaṃ jāṇaï daṭṭhaṃ sarisammi jaṇammi jujjae rāo
maraü ṇa tumaṃ bhaṇissaṃ maraṇaṃ pi salāhanijjaṃ se"
13,"raṃdhaṇakammaṇiuṇie mā jūrasu rattapāḍalasuaṃdhaṃ
muhamāruaṃ piaṃto dhūmāi sihī ṇa pajjalaï"
14,"ghariṇīa mahāṇasakammalaggamasimaïlieṇa hattheṇa
chittaṃ muhaṃ hasijjaï caṃdāvatthaṃ gaaṃ païṇā"
15,"kiṃ kiṃ de paḍihāsaï sahīhi ia pucchiāi muddhāe
paḍhamuggaadohaliṇīa ṇavara daïaṃ gaā diṭṭhī"
16,"amaamaa gaaṇasehara raaṇīmukhatilaa caṃda de chivasu
chitto jehi jiaamo mamaṃ pi tehiṃ cia karehiṃ"
17,"ehijja so paüttho ahaaṃ kuppejja so vi aṇuṇejja
ia kassa vi phalaï maṇoramāṇa mālā piaamammi"
18,"duggaakuḍaṃvaaṭṭhī kaha ṇu mae dhoieṇa soḍhavvā
dasiosaraṃtasalileṇa uaha ruṇṇaṃ va paḍaeṇa"
