1,"pasuvaïṇo rosāruṇapaḍimāsaṃkaṃtagorimuhaaṃdam,gahiagghapaṃkaaṃ mia saṃjhāsalilaṃjaliṃ ṇamaha","Bow before Śiva’s offering to Twilight, The water held in his cupped hand. Reflecting Gaurī’s moonlike face, Now flushed with jealous anger, It looks more like a crimson lotus"
2,"amiaṃ pāuakavvaṃ paḍhiuṃ souṃ ca je ṇa āṇaṃti,kāmassa tattatattiṃ kuṇaṃti te kaha ṇa lajjaṃti",Shame on those who cannot appreciate This ambrosial Prakrit poetry But pore instead Over treatises on love
3,"satta saāiṃ kaïvacchaleṇa koḍīa majjhaārammi,hāleṇa viraïāiṃ sālaṃkārāṇa gāhāṇaṃ","Among countless elegant poems, King Ha\la, patron of poets, Has selected seven hundred."
4,"ua ṇiccalaṇippaṃdā bhisiṇīvattammi rehaï valāā,nimmalamaragaabhāaṇapariṭṭhiā saṃkhasutti vva",Look at that heron Standing absolutely motionless On the lotus leaf. It is just like mother of pearl In a setting of spotless emerald.
5,"tāva ccia raïsamae mahilāṇaṃ vibbhamā virāaṃti,jāva ṇa kuvalaadalasacchahāi maülaṃti ṇaaṇāiṃ","While making love, women go on enticing men Up to the very end When their eyes, Long and oval like the petals of the waterlily, Close"
8,"attā taha ramaṇijjaṃ aṃhaṃ gāmassa maṃḍaṇīhūaṃ,luatilavāḍisaricchaṃ sisireṇakaaṃ bhisiṇisaṃḍaṃ","Look, mother-in-law! That lovely mass of lotuses Used to be the most beautiful thing in our village, But now winter has made them look Like a sesame field just after harvest"
9,"kiṃ ruasi oṇaamuhī dhavalāaṃtesu sālichettesu,hariālamaṃḍiamuhī ṇaḍi vva saṇavāḍiā jāā",Cheer up! Don’t cry for the paddy turning white. There’s the field of hemp in bloom Like a dancer with her face painted yellow!
10,"sahi erisi ccia gaī mā ruvvasu taṃsavaliamuhaaṃdaṃ,eāṇa vālavāluṃkitaṃtukuḍilāṇa pemmāṇaṃ","Friend, this is just the way things happen— Stop your tears, don’t turn your face away— Like the tendrils of a young cucumber, One’s affections twine around an object That does not stay."
11,"pāapaḍiassa païṇo puṭṭhiṃ putte samāruhaṃtammi,daḍhamaṇṇudūmiāi vihāso ghariṇīa ṇikkaṃto","When their little son Climbed on her husband’s back As he knelt at her feet, She could not help laughing Despite her fierce anger."
13,"raṃdhaṇakammaṇiuṇie mā jūrasu rattapāḍalasuaṃdhaṃ,muhamāruaṃ piaṃto dhūmāi sihī ṇa pajjalaï",Don’t get annoyed: There’s nothing wrong with your cooking. That the fire won’t burn but only smokes Is because it wants to inhale your breath That has the fragrance of red trumpetflowers.
14,"ghariṇīa mahāṇasakammalaggamasimaïlieṇa hattheṇa,chittaṃ muhaṃ hasijjaï caṃdāvatthaṃ gaaṃ païṇā","The husband laughed at his wife’s face Which, smudged with soot That stuck to her hand from kitchen work, Looked more than ever like the moon."
15,"kiṃ kiṃ de paḍihāsaï sahīhi ia pucchiāi muddhāe,paḍhamuggaadohaliṇīa ṇavara daïaṃ gaā diṭṭhī",When her friends asked the young wife Who was pregnant for the first time What she craved most She simply looked at her husband
16,"amaamaa gaaṇasehara raaṇīmukhatilaa caṃda de chivasu,chitto jehi jiaamo mamaṃ pi tehiṃ cia karehiṃ","Sweet moon, Crest jewel of the sky, Beauty spot on the face of night, Touch me with the very same rays With which you’ve touched my most dearly beloved."
17,"ehijja so paüttho ahaaṃ kuppejja so vi aṇuṇejja,ia kassa vi phalaï maṇoramāṇa mālā piaamammi","First let my dear husband come home, Then let me give him a scolding, And then let him do his best to bring me round. There must be someone who can get all three wishes."
19,"kosaṃvakisalavaṇṇaa taṇṇaa uṇṇāmiehi kaṇṇehiṃ,hiaaṭṭhiaṃ gharaṃ vaccamāṇa dhavalattaṇaṃ pāva","Young calf, Blushing red as a tender mango shoot, Running with ears pricked Towards the house of your desire, Assume the cool whiteness of a bull!"
20,"aliapasuttaa viṇimīliaccha de suhaa majjha oāsaṃ,gaṃḍapariuṃ vaṇāpulaïaṃga ṇa puṇo cirāissaṃ","Dearest, I know you are not really asleep, Just keeping your eyes closed. I can see goose pimples rising as I kiss your cheek. I won’t be late again."
21,"asamatta maṃḍaṇa ccia vacca gharaṃ se sakouhallassa,volāviahalahalaassa putti citte ṇa laggihisi","Don’t bother about your makeup, girl, Just go to him quickly, while he wants you. Once his longing is over He won’t give you a thought."
22,"āarapaṇāmioṭṭaṃ aghaḍiaṇāsaṃ asaṃhaaṇiḍālaṃ,vaṇṇaghialittamuhie tīe pariuṃvaṇaṃ bharimo","I will never forget how, When her face was smeared with red ghee, We kissed, Carefully pouting our lips So that our noses and foreheads Wouldn’t meet."
23,"āṇāsaāi deṃtī taha surae harisaviasiakavolā,gose vi oṇaamuhī aha se tti piaṃ ṇa saddhahimo","I refuse to believe that she who, Cheeks flushed with excitement, Is so demanding while making love Can really suit him, However meek she may be next mornin"
24,"piaviraho appiadaṃsaṇaṃ ca garuāi do vi dukkhāi,jīa tumaṃ kārijjasi tīa ṇamo āhijāīe",Being separated from what is dear And being forced to look at what isn’t Are two causes of grief. I bow to your good breeding Which demands that you act as you do.
